horse_id,horse,trainer,trainer_id,owner,owner_id,sire,sire_id,dam,dam_id
hrs_412672890,Ballinoe Blaze (IRE),Eoin Christopher McCarthy,trn_235116,A Ballinoe Syndicate,own_1207536,Affinisea (IRE),sir_5784198,The Black Mouse (IRE),dam_4514909
hrs_8865276,Beer With The Boys (GB),H D McGuigan,trn_361782,A Crawford,own_1140272,Nathaniel (IRE),sir_5237701,Bathilde (IRE),dam_755587
hrs_40260521,Duchamps Art (IRE),Ms Margaret Mullins,trn_141975,A D Mullins,own_883268,Diamond Boy (FR),sir_5181561,Dani Theatre (IRE),dam_6303325
hrs_9658397,Felix Desjy (FR),Gordon Elliott,trn_163305,A Dunlop,own_187040,Maresca Sorrento (FR),sir_3543505,Lamadoun (FR),dam_6147631
hrs_44015748,Go Avel (IRE),Francis Casey,trn_310059,A G Beatty P Mcbride Mrs Peter Casey Mrs Paula Casey,own_1187616,Court Cave (IRE),sir_4123686,Flamingo's Girl (IRE),dam_6121178
hrs_22805328,Palace Rock (IRE),Francis Casey,trn_310059,A G Beatty P Mcbride Mrs Peter Casey Mrs Paula Casey,own_1187616,Battle Of Marengo (IRE),sir_5601386,Fingal Rock (IRE),dam_5029605
hrs_37716539,My Mate Tony (IRE),Joseph Patrick O'Brien,trn_289305,A K Whelan,own_1169716,Sea The Moon (GER),sir_5927481,Silkwood (GB),dam_4715585
hrs_29341487,Gold Haven (IRE),Paul W Flynn,trn_171756,A Leydon Shane M Kenny,own_1309584,Mount Nelson (GB),sir_4624228,Annagh Haven (IRE),dam_5782637
hrs_23056075,Rossies Tara (GB),Mark Michael McNiff,trn_176661,A M Cahill P Glancy,own_1192132,Kayf Tara (GB),sir_3297462,My Lucky Flame (IRE),dam_5669118
hrs_35055048,Due Course (IRE),Gavin Cromwell,trn_160524,A M Murray Grant Harrison,own_1117860,Sageburg (IRE),sir_4782463,A Long Way (GB),dam_22957585
hrs_32881527,Out Of The Park (IRE),A M O'Grady,trn_121860,A M Ogrady,own_378740,Walk In The Park (IRE),sir_4218179,Line Mexia (FR),dam_6348594
hrs_40553695,O' Bon Pardon (FR),Paul Nolan,trn_86823,A Mcneill,own_460240,Ivanhowe (GER),sir_5771157,Diner En Ville (FR),dam_4776198
hrs_40095713,Person Of Interest (IRE),John Joseph Hanlon,trn_169605,A N Durkan,own_447976,Walk In The Park (IRE),sir_4218179,Kalico Kalista (IRE),dam_5810882
hrs_24481044,Bayou Belle (IRE),Jarlath P Fahey,trn_115623,A N Mcintyre,own_802604,Buratino (IRE),sir_6167980,Firecrown (IRE),dam_6094914
hrs_32909940,Pirate Bonnie (IRE),Jarlath P Fahey,trn_115623,A N Mcintyre,own_802604,Walk In The Park (IRE),sir_4218179,Jennies Jewel (IRE),dam_5628525
hrs_34598298,Tommies Call (IRE),Jarlath P Fahey,trn_115623,A N Mcintyre,own_802604,Shirocco (GER),sir_4009460,Jennies Jewel (IRE),dam_5628525
hrs_20041819,Good Time Jonny (IRE),A J Martin,trn_65637,A Shiels Donal Gavigan Niall Reilly,own_1138776,Shirocco (GER),sir_4009460,Shaylejon (IRE),dam_4924248
hrs_29212890,Natural Ability (IRE),A J Martin,trn_65637,A Shiels Donal Gavigan Niall Reilly,own_1138776,Most Improved (IRE),sir_5528215,Always A Way (GB),dam_5250049
hrs_28608090,The Miracle Man (IRE),Peter Fahey,trn_206631,A Trappe Declan Trappe Garry Trappe James J Gallagher,own_965020,Workforce (GB),sir_5198053,Carrigeen Kamala (IRE),dam_5598215
hrs_47868961,Brave Brigadier (GB),Thomas Gibney,trn_173538,A W Buller,own_87268,Lauro (GER),sir_4609528,Majestic Meg (GB),dam_47868954
hrs_412693771,Golden Chariot (IRE),L Young,trn_16236,A W Young,own_377980,Golden Lariat (USA),sir_3779580,Diamond Queen (IRE),dam_4221896
hrs_40806234,Texas King (IRE),L Young,trn_16236,A W Young,own_377980,Youmzain (IRE),sir_4485502,Dorn Dancer (IRE),dam_4196850
hrs_34598319,Tullabrack Lad (IRE),Francis J Flood,trn_292545,Abbey Rose Syndicate,own_475024,Conduit (IRE),sir_4799018,Sweetbriar Rose (IRE),dam_5789700
hrs_22755509,La Hacienda (GB),Matthew J Smith,trn_246555,Abd Syndicate,own_1216084,Free Eagle (IRE),sir_5783750,La Hermana (GB),dam_4195828
hrs_37687391,Juke Box Rock (IRE),Gavin Cromwell,trn_160524,Abp Partnership,own_1346428,Jukebox Jury (IRE),sir_4966836,Rock On The Moor (IRE),dam_5980310
hrs_35813218,Charlie's Dilemma (IRE),John C McConnell,trn_132759,Abt Syndicate,own_1383232,Valirann (FR),sir_5740378,Kells Lady (IRE),dam_35813211
hrs_38649695,Hurricane Bailey (IRE),Barry J Fitzgerald,trn_325476,Adam Connolly,own_1267244,Youmzain (IRE),sir_4485502,Ballyknock Present (IRE),dam_4587562
hrs_41052914,Party President (IRE),Anthony Mullins,trn_28521,Adam Leahy,own_1385820,Berkshire (IRE),sir_5859679,Chosen Destiny (IRE),dam_6100353
hrs_42780787,Hey Driver (IRE),Thomas Corish,trn_372312,Adam Leahy,own_1385820,Mahler (GB),sir_4624179,Flammetta (GB),dam_6025180
hrs_9345203,Oskar High (IRE),Norman Lee,trn_235107,Addergoole More Partnership,own_990072,Mountain High (IRE),sir_4270791,Kiwi Lass (IRE),dam_9345196
hrs_39978190,Addragoole (IRE),Gavin Cromwell,trn_160524,Addragoole Partnership,own_1366452,Gatewood (GB),sir_5409138,Ladyofthelodge (IRE),dam_21826812
hrs_41410579,Skyscraper (FR),Gerard Keane,trn_86382,Adrian Mcandrew,own_680876,Waldpark (GER),sir_5509343,Sancoin (USA),dam_5329611
hrs_46077871,Ballyharney (IRE),Adrian Murray,trn_171270,Adrian Murray,own_730940,Vendangeur (IRE),sir_4595990,Rose Victory (IRE),dam_46077864
hrs_36207983,Dereks Dream (IRE),Adrian Murray,trn_171270,Adrian Murray,own_730940,Sir Prancealot (IRE),sir_5601162,Taraba (IRE),dam_4644339
hrs_25095392,Carslake (GB),Aengus King,trn_135756,Aengus King,own_600332,Tamayuz (GB),sir_4817246,Hazy Dancer (GB),dam_5025440
hrs_20456464,Fill The Tank (IRE),Aengus King,trn_135756,Aengus King,own_600332,Gold Well (GB),sir_4009047,Onewayoranother (IRE),dam_6924617
hrs_43860208,Midnight Eagle (IRE),Aengus King,trn_135756,Aengus King,own_600332,Wings Of Eagles (FR),sir_7340921,Midnight Choir (IRE),dam_5287023
hrs_34333705,Tasmanian Girl (IRE),Aengus King,trn_135756,Aengus King,own_600332,Australia (GB),sir_5785444,Blueberry Gal (IRE),dam_5914328
hrs_34099639,The Shantou King (IRE),Aengus King,trn_135756,Aengus King,own_600332,Shantou (USA),sir_740670,Par Street (IRE),dam_5084695
hrs_20425314,Golden Sandbanks (GB),Paul W Flynn,trn_171756,Aidan Gallagher Fadhbarbith Unlimited Co David G Walsh,own_1295240,Havana Gold (IRE),sir_5617752,Serrenia (IRE),dam_5892173
hrs_20909987,Mollys Glory (IRE),M C Grassick,trn_249129,Aidan Gleeson,own_1177076,Fame And Glory (GB),sir_4871055,Pellerossa (IRE),dam_4447352
hrs_43605569,Order Of The Dance (IRE),E J O'Grady,trn_37161,Aidan J Ryan,own_198952,Order Of St George (IRE),sir_6059046,Oscar's Beauty (IRE),dam_5812072
hrs_32290839,St Faz (FR),E J O'Grady,trn_37161,Aidan J Ryan,own_198952,Taareef (USA),sir_6125287,Pink Anemone (GB),dam_5761700
