race_id,date,region,course,race_name,type,dist,going,horse_id,horse,sp,sp_dec,position,time,or,rpr,tsr,prize
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_9658439,Mick Charlie (IRE),7/1,8.00,1,6:19.60,101,110,–,€6195
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_26767713,Toor Moon (IRE),20/1,21.00,2,6:20.29,90,95,–,€1995
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_33290005,Buachaillbocht (GB),11/8F,2.38,3,6:22.79,97,92,–,€945
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_24494253,What An Ocean (IRE),9/1,10.00,4,6:26.29,92,73,–,€420
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_34253415,Kilbarry Saint (FR),10/1,11.00,5,6:28.29,93,66,–,€210
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_27451900,Cruisin Susan (IRE),16/1,17.00,6,6:39.54,87,15,–,€105
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_24372922,Kiln Time (IRE),3/1,4.00,PU,-,96,–,–,
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_28851851,Walk In The Stars (IRE),25/1,26.00,PU,-,84,–,–,
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_30469495,Therailwayman (IRE),80/1,81.00,PU,-,88,–,–,
rac_11152687,2024-01-01,IRE,Tramore (IRE),Tramore Medical Clinic Handicap Hurdle,Hurdle,2m5½f,Heavy,hrs_38089429,Party Pack (IRE),20/1,21.00,PU,-,93,–,–,
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_26460021,Stoke The Fire (IRE),5/6F,1.83,1,6:4.50,–,131,55,€6195
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_34166804,Nouvotic (FR),7/2,4.50,2,6:8.25,–,108,39,€1995
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_33974976,Half Off Six Pence (IRE),18/1,19.00,3,6:15.75,–,71,–,€945
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_26849368,Notkeepinyagoing (IRE),7/1,8.00,4,6:17.12,–,74,2,€420
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_34153518,Gabriel Ranger (IRE),25/1,26.00,PU,-,–,–,–,
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_34788873,Sirekoff (IRE),18/1,19.00,PU,-,–,–,–,
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_34961906,Reve Inoui (IRE),6/1,7.00,PU,-,–,–,–,
rac_11152674,2024-01-01,IRE,Tramore (IRE),Ryans Cleaning Services Maiden Hurdle,Hurdle,2m5½f,Heavy,hrs_38809225,Pat The Carraig (IRE),28/1,29.00,PU,-,–,–,–,
rac_11152661,2024-01-01,IRE,Tramore (IRE),Jimmy Shanahan Memorial Handicap Hurdle,Hurdle,2m1f,Heavy,hrs_22857492,Bynx (IRE),6/1,7.00,1,4:37.10,105,110,80,€11800
rac_11152661,2024-01-01,IRE,Tramore (IRE),Jimmy Shanahan Memorial Handicap Hurdle,Hurdle,2m1f,Heavy,hrs_27428583,Belle The Lioness (IRE),4/1,5.00,2,4:37.98,118,119,89,€3800
