race_id,race_name,course
rac_11152687,Tramore Medical Clinic Handicap Hurdle,Tramore (IRE)
rac_11152674,Ryans Cleaning Services Maiden Hurdle,Tramore (IRE)
rac_11152661,Jimmy Shanahan Memorial Handicap Hurdle,Tramore (IRE)
rac_11152648,David Flynn Construction Maiden Hurdle,Tramore (IRE)
rac_11152596,Fairyhouse Membership 2024 Handicap Hurdle,Fairyhouse (IRE)
rac_11152583,Tote+ Pays You More At Tote.ie Handicap Hurdle,Fairyhouse (IRE)
rac_11152570,ITM Irish Stallion Trail 12-13 January Maiden Hurdle,Fairyhouse (IRE)
rac_11152557,Wishing Everyone A Healthy 2024 Mares Hurdle,Fairyhouse (IRE)
rac_11155274,EASYFIX Handicap Hurdle,Cork (IRE)
rac_11155261,ITM Irish Stallion Trail 12-13 January Maiden Hurdle,Cork (IRE)
rac_11155248,Annual Membership Available Rated Novice Hurdle,Cork (IRE)
rac_11155235,Happy New Year From All At Cork Maiden Hurdle,Cork (IRE)
rac_11160916,Tipperary Handicap Hurdle,Clonmel (IRE)
rac_11160903,Lisronagh Handicap Hurdle,Clonmel (IRE)
rac_11160890,Munster Hurdle,Clonmel (IRE)
rac_11160877,Monroe Maiden Hurdle,Clonmel (IRE)
rac_11160864,Kilsheelan Mares Maiden Hurdle,Clonmel (IRE)
rac_11162619,Adare Manor Opportunity Handicap Hurdle,Naas (IRE)
rac_11162606,Matt Britton Irish EBF Maiden Hurdle,Naas (IRE)
rac_11162593,Lawlor's Of Naas Novice Hurdle,Naas (IRE)
rac_11162554,Naas Racecourse Handicap Hurdle,Naas (IRE)
rac_11163243,SBK Handicap Hurdle,Fairyhouse (IRE)
rac_11163230,SBK Mares Maiden Hurdle,Fairyhouse (IRE)
rac_11163217,Racing TV Club Day At Fairyhouse Hurdle,Fairyhouse (IRE)
rac_11163321,SkyBet Request A Bet Mares Handicap Hurdle,Punchestown (IRE)
rac_11163308,SkyBet Acca Freeze Maiden Hurdle,Punchestown (IRE)
rac_11163295,SkyBet Moscow Flyer Novice Hurdle,Punchestown (IRE)
rac_11164062,Join The Punchestown Members Club Handicap Hurdle,Punchestown (IRE)
rac_11164049,Download The Bet Victor App Maiden Hurdle,Punchestown (IRE)
rac_11164036,Book Your Festival Hospitality Novice Handicap Hurdle,Punchestown (IRE)
rac_11164023,Thank You To Rita Lyons Mares Maiden Hurdle,Punchestown (IRE)
rac_11164010,John Thomas McNamara Series (Q.R.) Handicap Hurdle,Punchestown (IRE)
rac_11163997,Bet Victor Proud To Support Irish Racing Maiden Hurdle,Punchestown (IRE)
rac_11167611,Ardmulchan Handicap Hurdle,Navan (IRE)
rac_11167598,Navan Handicap Hurdle (),Navan (IRE)
rac_11167585,QuinnBet Maiden Hurdle,Navan (IRE)
rac_11167572,Race Displays Rated Novice Hurdle,Navan (IRE)
rac_11167728,Horse & Jockey Handicap Hurdle,Thurles (IRE)
rac_11167715,W.T. O'Grady Memorial Irish EBF Novice Hurdle,Thurles (IRE)
rac_11167702,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive Race),Thurles (IRE)
rac_11172993,Pravha Handicap Hurdle,Down Royal (IRE)
rac_11172980,Coors Mares Handicap Hurdle,Down Royal (IRE)
rac_11172967,Franciscan Well Rated Novice Hurdle,Down Royal (IRE)
rac_11172954,Molson Coors Beverage Company Maiden Hurdle,Down Royal (IRE)
rac_11173123,Jump Into January At Fairyhouse Handicap Hurdle,Fairyhouse (IRE)
rac_11173110,Fairyhouse Supporting Treo Eile Maiden Hurdle,Fairyhouse (IRE)
rac_11173097,"HAY ""How Are Ya"" Campaign Mares Maiden Hurdle",Fairyhouse (IRE)
rac_11173084,Easter Festival Early Bird Maiden Hurdle,Fairyhouse (IRE)
rac_11173071,Easter Festival March 30th - April 1st Novice Hurdle,Fairyhouse (IRE)
rac_11173188,Adare Manor Opportunity Handicap Hurdle,Gowran Park (IRE)
rac_11173162,John Mulhern Galmoy Hurdle,Gowran Park (IRE)
