race_id,race_name,course,date,type,class,pattern,aver_or,total_prize
rac_11131952,tote.co.uk Gym Membership Renewed Novices' Handicap Chase,Musselburgh,2024-01-01,Chase,Class 5,,87.5,7869.6
rac_11131913,tote.co.uk Auld Reekie Handicap Chase (GBB Race),Musselburgh,2024-01-01,Chase,Class 2,,131.77777777777777,39348.0
rac_11131861,Lou Years Day Birthday Stakes Handicap Chase,Exeter,2024-01-01,Chase,Class 5,,91.0,8361.45
rac_11131835,Rhino.Bet Your New Bookmaker For 2024 Handicap Chase,Exeter,2024-01-01,Chase,Class 4,,102.8,10820.7
rac_11131822,Passage House Inn Novices' Handicap Chase (GBB Race),Exeter,2024-01-01,Chase,Class 4,,112.28571428571429,10328.85
rac_11131783,Close Brothers Novices' Limited Handicap Chase (GBB Race),Cheltenham,2024-01-01,Chase,Class 3,,132.6,24592.5
rac_11131757,Paddy Power Handicap Chase (GBB Race),Cheltenham,2024-01-01,Chase,Class 2,,138.8,48440.0
rac_11131731,Paddy Power New Year's Day Handicap Chase (Premier Handicap) (GBB Race),Cheltenham,2024-01-01,Chase,Class 1,,148.33333333333334,98370.0
rac_11131692,Download Raceday Ready Today Handicap Chase (Go North Red Rum Series Qualifier),Catterick,2024-01-01,Chase,Class 5,,89.33333333333333,7869.6
rac_11131653,Join Racing TV Now Novices' Handicap Chase (GBB Race),Catterick,2024-01-01,Chase,Class 4,,108.75,9534.0
rac_11134474,BetUK. It's Where The UK Bets Apprentice Handicap,Newcastle (AW),2024-01-01,Flat,Class 5,,67.08333333333333,14755.5
rac_11134461,Best Racing Odds Guaranteed At BetMGM Handicap,Newcastle (AW),2024-01-01,Flat,Class 2,,84.7,44266.5
rac_11134448,Always Gamble Responsibly With BetUK Handicap,Newcastle (AW),2024-01-01,Flat,Class 2,,93.61538461538461,44266.5
rac_11134435,Boost Your Acca At BetMGM Fillies' Handicap,Newcastle (AW),2024-01-01,Flat,Class 2,,85.75,44266.5
rac_11134422,BetMGM: It's Showtime Handicap,Newcastle (AW),2024-01-01,Flat,Class 2,,93.16666666666667,44266.5
rac_11134409,Boost Your Acca-Fenwa With BetUK Handicap,Newcastle (AW),2024-01-01,Flat,Class 2,,89.84615384615384,44266.5
rac_11134396,BetUK. Home Of The Acca-Fenwa Handicap,Newcastle (AW),2024-01-01,Flat,Class 2,,92.72727272727273,44266.5
rac_11131978,tote.co.uk Hair Of The Dog Juvenile Hurdle (Go North Grey Bomber Series Qualifier) (GBB Race),Musselburgh,2024-01-01,Hurdle,Class 4,,19.166666666666668,7869.6
rac_11131965,tote.co.uk Dry January Starts Now Handicap Hurdle (Go North Brindisi Breeze Series Qualifier),Musselburgh,2024-01-01,Hurdle,Class 4,,102.42857142857143,7869.6
rac_11131939,tote.co.uk New Year New Me Handicap Hurdle,Musselburgh,2024-01-01,Hurdle,Class 3,,116.27272727272727,19674.0
rac_11131926,tote.co.uk Hogmaneigh Handicap Hurdle (GBB Race),Musselburgh,2024-01-01,Hurdle,Class 2,,127.71428571428571,29511.0
rac_11131887,Rhino.Bet Charge Up Your 2024 Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB),Exeter,2024-01-01,Hurdle,Class 4,,8.8,7623.67
rac_11131874,"Thurlestone Hotel ""National Hunt"" Maiden Hurdle (GBB Race)",Exeter,2024-01-01,Hurdle,Class 4,,6.6875,7623.67
rac_11131848,Welcome To 2024 With Rhino.Bet Handicap Hurdle,Exeter,2024-01-01,Hurdle,Class 4,,103.375,9837.0
rac_11131809,Favourite From The Sun Now Daily Maiden Hurdle (GBB Race),Cheltenham,2024-01-01,Hurdle,Class 2,,39.5,19674.0
rac_11131770,Paddy Power Handicap Hurdle (GBB Race),Cheltenham,2024-01-01,Hurdle,Class 2,,128.7,34429.5
rac_11131744,Dornan Engineering Relkeel Hurdle  (GBB Race),Cheltenham,2024-01-01,Hurdle,Class 1,Grade 2,111.5,66045.0
rac_11131718,Racing Again 11th January Handicap Hurdle,Catterick,2024-01-01,Hurdle,Class 5,,78.71428571428571,7525.3
rac_11131705,Best Odds Guaranteed At Vickers.Bet Handicap Hurdle,Catterick,2024-01-01,Hurdle,Class 5,,95.5,7525.3
rac_11131679,Bet At Racing TV Novices' Hurdle (GBB Race),Catterick,2024-01-01,Hurdle,Class 4,,31.0,7869.6
rac_11131666,Happy New Year Novices' Hurdle (GBB Race),Catterick,2024-01-01,Hurdle,Class 4,,10.714285714285714,7869.6
rac_11131900,Kennford Open Maiden National Hunt Flat Race (Category 3 Elimination) (GBB Race),Exeter,2024-01-01,NH Flat,Class 5,,0.0,3934.8
rac_11131796,"Family Fun ""Junior"" National Hunt Flat Race (A Standard Open NH Flat Race) () (GBB Race)",Cheltenham,2024-01-01,NH Flat,Class 1,Listed,0.0,24592.5
rac_11152726,Tom Carroll Memorial Handicap Chase,Tramore (IRE),2024-01-01,Chase,,,86.75,0.0
rac_11152713,Core Bullion Traders Rated Novice Chase,Tramore (IRE),2024-01-01,Chase,,,33.5,0.0
rac_11152700,Savills New Year's Day Chase,Tramore (IRE),2024-01-01,Chase,,Grade 3,124.66666666666667,0.0
rac_11152622,McInerney Beginners Chase,Fairyhouse (IRE),2024-01-01,Chase,,,0.0,0.0
rac_11152609,John & Chich Fowler Memorial EBF Mares Chase,Fairyhouse (IRE),2024-01-01,Chase,,Grade 3,140.6,0.0
rac_11152687,Tramore Medical Clinic Handicap Hurdle,Tramore (IRE),2024-01-01,Hurdle,,,92.1,0.0
rac_11152674,Ryans Cleaning Services Maiden Hurdle,Tramore (IRE),2024-01-01,Hurdle,,,0.0,0.0
rac_11152661,Jimmy Shanahan Memorial Handicap Hurdle,Tramore (IRE),2024-01-01,Hurdle,,,110.55555555555556,0.0
rac_11152648,David Flynn Construction Maiden Hurdle,Tramore (IRE),2024-01-01,Hurdle,,,0.0,0.0
rac_11152596,Fairyhouse Membership 2024 Handicap Hurdle,Fairyhouse (IRE),2024-01-01,Hurdle,,,98.6,0.0
rac_11152583,Tote+ Pays You More At Tote.ie Handicap Hurdle,Fairyhouse (IRE),2024-01-01,Hurdle,,,97.375,0.0
rac_11152570,ITM Irish Stallion Trail 12-13 January Maiden Hurdle,Fairyhouse (IRE),2024-01-01,Hurdle,,,0.0,0.0
rac_11152557,Wishing Everyone A Healthy 2024 Mares Hurdle,Fairyhouse (IRE),2024-01-01,Hurdle,,,0.0,0.0
rac_11152635,Jump Into January @ Fairyhouse (Pro/Am) INH Flat Race,Fairyhouse (IRE),2024-01-01,NH Flat,,,0.0,0.0
rac_11132121,Win A Wedding At Western House Handicap Chase (Go North One Man Series Qualifier),Ayr,2024-01-02,Chase,Class 4,,108.33333333333333,8853.3
rac_11132108,Ayrshire Wedding Show Novices' Handicap Chase (GBB Race),Ayr,2024-01-02,Chase,Class 4,,114.4,8853.3
rac_11132095,Jim 'Havana' McPherson Handicap Chase,Ayr,2024-01-02,Chase,Class 3,,121.5,14755.5
rac_11154039,Boost Your Acca-Fenwa With BetUK Classified Stakes (Div II),Wolverhampton (AW),2024-01-02,Flat,Class 6,,45.75,5607.09
rac_11134565,BetMGM: It's Showtime Handicap,Wolverhampton (AW),2024-01-02,Flat,Class 6,,62.42857142857143,5607.09
rac_11134552,Win £2 000 000 With BetMGM's Golden Goals Classified Stakes,Wolverhampton (AW),2024-01-02,Flat,Class 6,,47.81818181818182,5607.09
rac_11134539,Boost Your Acca-Fenwa With BetUK Classified Stakes (Div I),Wolverhampton (AW),2024-01-02,Flat,Class 6,,44.875,5607.09
